Function,Type,Metric,GOA,PSO,GWO,WOA,DE,RIME,MVO,TLBO,SO,SHO,SCSO,SLO,CCO
F1:Bent Cigar (CEC17-F1),Unimodal,Mean,8.7929e+03,7.5284e+03,1.8582e+08,2.7910e+06,2.8502e+07,1.0127e+04,1.6615e+04,6.6420e+03,3.2678e+04,4.6589e+06,3.2007e+08,5.3222e+09,4.3233e+05
,,Std,7.2139e+03,7.9395e+03,4.1857e+08,1.2458e+07,1.2035e+07,9.0344e+03,8.8732e+03,6.2516e+03,1.0971e+04,5.6842e+06,4.6809e+08,2.2742e+09,4.6047e+05
F2:Schwefel (CEC14-F11),Basic,Mean,6.4589e+02,6.0101e+02,1.1142e+03,1.7651e+03,2.3675e+03,6.6972e+02,1.4008e+03,1.6043e+03,1.7396e+03,2.5832e+03,2.0706e+03,2.9487e+03,1.9804e+03
,,Std,2.0709e+02,2.6975e+02,6.7062e+02,5.0193e+02,2.4969e+02,2.9535e+02,5.0366e+02,4.5838e+02,3.6197e+02,2.6327e+02,5.3834e+02,4.3719e+02,2.1288e+02
F3:Lunacek bi-Rastrigin (CEC17-F7),Basic,Mean,3.0112e+01,3.7907e+01,5.8687e+01,1.2939e+02,1.2108e+02,4.5691e+01,5.6497e+01,3.9679e+01,2.3428e+02,6.4511e+01,3.7770e+02,2.2554e+02,6.8959e+01
,,Std,3.8037e+00,9.7843e+00,2.2299e+01,2.9178e+01,1.0798e+01,1.3698e+01,1.7348e+01,9.4483e+00,5.3985e+01,1.5441e+01,1.0545e+02,4.4768e+01,7.7377e+00
F4:Rosenbrock+Griewank (CEC17-F19),Basic,Mean,2.1626e+00,2.5605e+00,6.2565e+00,2.6045e+01,8.4439e+00,1.5807e+00,2.8542e+00,4.5628e+00,4.1730e+00,6.1026e+00,1.2813e+03,3.3313e+04,5.0266e+00
,,Std,5.1456e-01,1.0933e+00,2.1047e+00,7.0239e+01,8.4927e-01,5.2706e-01,1.3100e+00,2.5019e+00,1.8697e+00,9.3519e-01,1.5200e+03,5.1034e+04,6.8381e-01
F5:Hybrid1 N=3 (CEC14-F17),Hybrid,Mean,1.3986e+03,8.6413e+04,3.8404e+05,3.7181e+05,6.6165e+02,4.6946e+04,9.9347e+04,4.3335e+03,1.6153e+05,9.5111e+05,1.4877e+06,7.9299e+06,4.6213e+04
,,Std,1.2181e+03,9.7008e+04,4.6059e+05,4.0223e+05,1.5336e+02,7.7950e+04,1.1870e+05,4.2498e+03,1.5943e+05,4.1172e+05,1.7882e+06,8.2981e+06,2.8324e+04
F6:Hybrid2 N=4 (CEC17-F16),Hybrid,Mean,3.5362e+01,3.5362e+01,3.5362e+01,3.5362e+01,3.5362e+01,3.5362e+01,3.5362e+01,3.5362e+01,3.5372e+01,3.5362e+01,3.5414e+01,3.5362e+01,3.5362e+01
,,Std,0.0000e+00,0.0000e+00,1.7600e-07,3.2600e-12,0.0000e+00,4.1515e-14,1.1470e-07,5.4131e-08,5.6995e-02,1.5028e-05,1.1833e-01,2.7936e-04,1.8855e-07
F7:Hybrid3 N=5 (CEC14-F21),Hybrid,Mean,1.0177e+03,3.6093e+04,1.4673e+05,2.2724e+05,4.0776e+02,4.6814e+04,2.5057e+04,3.0048e+03,1.1822e+05,6.5441e+04,8.4497e+06,1.0789e+07,3.0703e+04
,,Std,5.6663e+02,5.2270e+04,1.1921e+05,1.4479e+05,8.0167e+01,5.5400e+04,1.9775e+04,1.9970e+03,1.1049e+05,6.1646e+04,8.2135e+06,8.0629e+06,2.1187e+04
F8:Composition1 N=3 (CEC17-F22),Composition,Mean,1.0114e+02,1.7857e+02,3.4693e+02,7.6504e+02,1.1511e+02,9.9768e+01,5.9743e+02,9.9583e+01,1.3409e+03,1.9429e+02,1.1515e+03,2.4079e+03,1.0373e+02
,,Std,7.9147e-01,2.5880e+02,4.8220e+02,1.0353e+03,2.7288e+00,9.0958e+00,8.0123e+02,1.3000e+01,1.0113e+03,1.6669e+02,1.1883e+03,1.2036e+03,9.1479e-01
F9:Composition2 N=4 (CEC17-F24),Composition,Mean,3.5805e+02,3.6006e+02,4.1245e+02,4.3363e+02,4.4563e+02,3.9330e+02,4.0497e+02,4.0768e+02,6.8008e+02,4.3605e+02,5.9462e+02,6.6415e+02,4.1245e+02
,,Std,1.0249e+02,1.0387e+02,5.8853e+01,6.2616e+01,7.3075e+00,5.5275e+01,5.9413e+01,7.6353e+00,2.0815e+02,1.3527e+01,1.1757e+02,1.1203e+02,4.7509e+00
F10:Composition3 N=5 (CEC17-F25),Composition,Mean,4.3715e+02,4.2339e+02,6.1892e+02,6.0142e+02,5.0292e+02,4.9118e+02,4.1936e+02,4.2898e+02,5.9760e+02,6.4779e+02,8.5944e+02,1.1939e+03,5.0476e+02
,,Std,7.9640e+01,6.6845e+01,3.2101e+01,7.1152e+01,3.5648e+01,6.8651e+01,5.2321e+01,7.5207e+01,7.0809e+01,1.4982e+01,2.0776e+02,2.2811e+02,5.2663e+01
