Function,Type,Metric,GOA,PSO,GWO,WOA,DE,RIME,MVO,TLBO,SO,SHO,SCSO,SLO,CCO
F1:Bent Cigar (CEC17-F1),Unimodal,Mean,9.4351e+02,2.6873e+03,1.2741e+07,3.9323e+05,1.8026e+04,5.7577e+03,8.6090e+03,1.5466e+03,9.9495e+03,6.5524e+05,2.5849e+07,2.0575e+09,1.4525e+05
,,Std,1.1201e+03,3.0840e+03,6.3205e+07,7.9213e+05,1.4129e+04,3.7147e+03,4.2458e+03,2.4605e+03,4.1288e+03,5.4330e+05,6.7440e+07,1.5475e+09,2.4672e+05
F2:Schwefel (CEC14-F11),Basic,Mean,3.8637e+02,3.4387e+02,6.5756e+02,1.0587e+03,8.5491e+02,2.9219e+02,6.9320e+02,7.3171e+02,9.1315e+02,1.4037e+03,1.1653e+03,1.6801e+03,8.5617e+02
,,Std,1.7771e+02,1.7038e+02,3.8575e+02,3.4240e+02,3.2604e+02,1.6219e+02,2.9479e+02,3.4363e+02,2.3850e+02,1.4305e+02,3.0512e+02,3.3982e+02,1.3472e+02
F3:Lunacek bi-Rastrigin (CEC17-F7),Basic,Mean,1.6409e+01,2.5125e+01,3.9498e+01,5.6707e+01,5.5273e+01,2.4253e+01,3.3537e+01,2.2164e+01,1.3616e+02,3.5815e+01,1.5926e+02,1.0903e+02,3.2117e+01
,,Std,2.7035e+00,6.6816e+00,9.2601e+00,1.8289e+01,7.2622e+00,5.8677e+00,1.3830e+01,5.2045e+00,4.5135e+01,6.0327e+00,6.0717e+01,2.9945e+01,4.1098e+00
F4:Rosenbrock+Griewank (CEC17-F19),Basic,Mean,9.8611e-01,1.7066e+00,2.6446e+00,3.5500e+00,3.6776e+00,8.6514e-01,1.3700e+00,1.2069e+00,1.6359e+00,3.2871e+00,5.6235e+01,4.0090e+02,2.0706e+00
,,Std,2.9236e-01,8.9752e-01,7.8456e-01,1.8795e+00,4.9042e-01,2.3623e-01,6.2376e-01,6.8166e-01,5.8647e-01,6.3226e-01,8.2963e+01,1.2428e+03,3.8194e-01
F5:Hybrid1 N=3 (CEC14-F17),Hybrid,Mean,9.5735e+02,3.2372e+03,4.1024e+04,5.1281e+04,1.1497e+02,4.3308e+03,6.3360e+03,1.8183e+03,3.3524e+04,4.7332e+04,2.5549e+05,1.1828e+06,6.3505e+03
,,Std,1.4980e+03,3.2529e+03,1.0862e+05,1.1492e+05,6.1716e+01,3.4099e+03,5.3062e+03,1.2214e+03,6.8541e+04,8.9700e+04,5.8444e+05,1.6442e+06,3.5730e+03
F6:Hybrid2 N=4 (CEC17-F16),Hybrid,Mean,2.9322e-01,1.8494e+00,8.0075e+00,1.8826e+00,7.9101e-02,3.2790e-01,7.4029e+00,2.4788e-01,2.7592e+01,1.0525e+00,1.8344e+01,3.3187e+01,4.5277e-01
,,Std,2.3538e-01,5.0575e+00,1.2439e+01,5.3979e+00,1.7039e-01,2.2758e-01,1.2317e+01,1.5612e-01,5.6166e+01,4.1637e-01,2.6255e+01,4.1390e+01,1.6425e-01
F7:Hybrid3 N=5 (CEC14-F21),Hybrid,Mean,1.7685e+02,8.6096e+02,5.8168e+03,8.8093e+03,2.3711e+01,9.0238e+02,6.2270e+03,3.2874e+02,5.3077e+03,1.0864e+03,1.0176e+06,4.9125e+05,1.2141e+03
,,Std,1.4311e+02,8.8865e+02,4.9512e+03,7.9150e+03,2.0279e+01,5.8882e+02,5.1835e+03,1.6787e+02,4.1876e+03,4.8669e+02,1.5130e+06,4.7543e+05,4.8375e+02
F8:Composition1 N=3 (CEC17-F22),Composition,Mean,1.0125e+02,9.6259e+01,1.1158e+02,1.0374e+02,1.0162e+02,9.4157e+01,1.2785e+02,9.4974e+01,2.1316e+02,1.0755e+02,1.7376e+02,5.9770e+02,9.6125e+01
,,Std,8.5045e-01,2.1509e+01,1.0572e+01,1.6166e+01,1.8391e+01,2.5598e+01,1.6415e+02,2.0208e+01,4.3022e+02,1.8101e+00,7.0076e+01,5.8494e+02,1.7141e+01
F9:Composition2 N=4 (CEC17-F24),Composition,Mean,2.8206e+02,3.1027e+02,3.4432e+02,3.5300e+02,3.6541e+02,3.1686e+02,3.2535e+02,3.0631e+02,4.3070e+02,3.5665e+02,3.8195e+02,4.0624e+02,2.5209e+02
,,Std,1.0209e+02,8.4061e+01,4.6750e+01,6.1376e+01,4.8998e+00,7.4164e+01,7.6921e+01,8.1857e+01,1.4446e+02,8.4117e+00,1.0606e+02,5.9850e+01,8.0243e+01
F10:Composition3 N=5 (CEC17-F25),Composition,Mean,4.2576e+02,4.1904e+02,4.3611e+02,4.3772e+02,4.0014e+02,4.1166e+02,4.2464e+02,4.2351e+02,4.3526e+02,4.5044e+02,4.9435e+02,5.8324e+02,4.1298e+02
,,Std,2.2582e+01,2.4068e+01,1.6421e+01,1.8382e+01,8.2815e+00,2.1300e+01,3.0183e+01,2.2913e+01,2.8581e+01,8.5770e-01,1.3485e+02,1.1002e+02,2.0019e+01
