Function,Type,Metric,GOA,PSO,GWO,WOA,DE,RIME,MVO,TLBO,SO,SHO,SCSO,SLO,CCO
F1:Bent Cigar (CEC17-F1),Unimodal,Mean,4.7461e+04,4.6235e+03,2.0645e+08,5.2729e+07,2.8914e+08,4.0537e+03,4.5551e+04,2.4095e+03,6.7300e+04,6.1863e+06,2.3645e+09,1.0876e+10,3.9650e+06
,,Std,4.0774e+04,3.9296e+03,3.2698e+08,1.3367e+08,9.7594e+07,3.3879e+03,1.9619e+04,2.3659e+03,9.9853e+03,4.7140e+06,2.2315e+09,4.0926e+09,2.0233e+06
F2:Schwefel (CEC14-F11),Basic,Mean,1.0584e+03,8.3627e+02,1.7294e+03,2.3667e+03,3.5998e+03,1.3885e+03,1.9016e+03,2.1079e+03,2.4951e+03,4.0191e+03,2.9602e+03,4.4273e+03,3.1731e+03
,,Std,2.4352e+02,2.4526e+02,7.5754e+02,5.9070e+02,3.9231e+02,4.0354e+02,4.8172e+02,9.8587e+02,4.0327e+02,2.8780e+02,4.9940e+02,4.7004e+02,3.0504e+02
F3:Lunacek bi-Rastrigin (CEC17-F7),Basic,Mean,5.0158e+01,5.7197e+01,9.7467e+01,1.8966e+02,2.1315e+02,7.4118e+01,9.0397e+01,6.1684e+01,3.3310e+02,9.5623e+01,6.5717e+02,3.0752e+02,1.2128e+02
,,Std,7.5343e+00,1.2962e+01,3.5758e+01,4.6149e+01,1.7716e+01,2.0387e+01,1.9676e+01,1.4027e+01,6.0005e+01,2.6160e+01,1.9391e+02,4.5450e+01,9.7732e+00
F4:Rosenbrock+Griewank (CEC17-F19),Basic,Mean,4.1559e+00,4.9975e+00,2.1737e+01,2.6259e+01,1.8109e+01,3.4399e+00,5.1709e+00,9.7007e+00,1.3673e+01,9.8950e+00,1.6080e+04,5.5458e+04,1.0343e+01
,,Std,9.5375e-01,2.4490e+00,2.2132e+01,1.0507e+01,2.5141e+00,1.0307e+00,1.7906e+00,3.2009e+00,1.2891e+01,1.1609e+00,6.0618e+04,7.7599e+04,1.4574e+00
F5:Hybrid1 N=3 (CEC14-F17),Hybrid,Mean,6.3543e+04,3.3292e+05,6.6923e+05,7.1813e+05,2.3093e+03,2.8442e+05,1.9769e+05,1.4247e+05,3.3155e+05,5.0433e+05,1.5374e+06,6.5192e+06,6.0029e+05
,,Std,9.9237e+04,2.5043e+05,8.2660e+05,6.6450e+05,3.4711e+02,2.0157e+05,1.5063e+05,8.8735e+04,2.2035e+05,3.6018e+05,1.7741e+06,8.1031e+06,2.4332e+05
F6:Hybrid2 N=4 (CEC17-F16),Hybrid,Mean,4.4910e+02,4.4910e+02,4.4910e+02,4.4910e+02,4.4910e+02,4.4910e+02,4.4910e+02,4.4910e+02,4.4910e+02,4.4910e+02,4.4910e+02,4.4910e+02,4.4910e+02
,,Std,2.8908e-13,2.8908e-13,2.8908e-13,2.8908e-13,2.8908e-13,2.8908e-13,2.8908e-13,2.8908e-13,2.8908e-13,2.8908e-13,2.8908e-13,2.8908e-13,2.8908e-13
F7:Hybrid3 N=5 (CEC14-F21),Hybrid,Mean,6.8613e+03,1.0989e+05,3.1910e+05,2.6658e+05,1.0717e+03,1.0328e+05,7.0196e+04,3.1678e+04,1.8016e+05,5.3265e+05,1.0804e+06,2.7887e+06,9.6207e+04
,,Std,9.8799e+03,1.1789e+05,3.0479e+05,2.9127e+05,1.6686e+02,1.3433e+05,7.5412e+04,3.6930e+04,1.6874e+05,2.9300e+05,1.6456e+06,3.0113e+06,6.3734e+04
F8:Composition1 N=3 (CEC17-F22),Composition,Mean,1.0313e+02,4.7455e+02,1.2941e+03,2.3229e+03,2.5798e+03,6.7622e+02,1.3853e+03,1.0148e+02,2.3986e+03,3.3153e+03,2.8999e+03,4.3424e+03,1.1360e+02
,,Std,1.2239e+00,8.0955e+02,1.2755e+03,1.4548e+03,2.2402e+03,9.2253e+02,1.1848e+03,1.1362e+00,1.3752e+03,1.6276e+03,1.3679e+03,9.5804e+02,1.7707e+00
F9:Composition2 N=4 (CEC17-F24),Composition,Mean,4.2839e+02,4.3507e+02,4.7891e+02,5.2482e+02,5.2621e+02,4.2834e+02,4.5139e+02,4.3984e+02,8.2409e+02,4.8490e+02,7.0254e+02,8.1171e+02,4.8146e+02
,,Std,1.2991e+01,1.4989e+01,4.1339e+01,3.9207e+01,1.0685e+01,6.5708e+00,1.9502e+01,1.4702e+01,8.3525e+01,2.0006e+01,8.3637e+01,1.1329e+02,8.8518e+00
F10:Composition3 N=5 (CEC17-F25),Composition,Mean,4.6604e+02,4.3525e+02,4.9108e+02,5.1695e+02,4.4207e+02,4.5596e+02,4.2483e+02,4.6882e+02,4.6567e+02,4.2808e+02,7.4001e+02,1.4286e+03,4.2072e+02
,,Std,2.7299e+01,2.8721e+01,3.3099e+01,3.1832e+01,1.0220e+01,3.3699e+01,2.1314e+01,3.4473e+01,3.3212e+01,8.0007e+00,2.3329e+02,3.9703e+02,1.1242e+01
