Function,Type,Metric,GOA,PSO,GWO,WOA,DE,RIME,MVO,TLBO,SO,SHO,SCSO,SLO,CCO
F18:Hybrid7 (N=5),Hybrid,Mean,2.6902e+02,2.3099e+02,6.3559e+02,1.3777e+03,3.9063e+02,1.5293e+02,3.9158e+02,4.4914e+02,1.4836e+03,1.5102e+02,2.7069e+03,4.2872e+03,2.1305e+02
,,Std,2.4760e+02,2.2705e+02,4.1822e+02,5.0608e+02,9.1240e+01,1.1937e+02,3.1314e+02,2.8947e+02,6.3844e+02,1.5602e+02,8.1641e+02,8.8588e+02,8.3221e+01
F19:Hybrid6 (N=5),Hybrid,Mean,5.8526e+04,7.7508e+04,1.8613e+05,2.6007e+05,2.9860e+06,1.4162e+05,1.7125e+05,9.8205e+04,2.0700e+05,2.4135e+05,1.7791e+05,2.0219e+08,1.1511e+06
,,Std,1.7349e+04,3.6064e+04,2.6132e+05,2.8857e+05,1.8322e+06,4.5248e+04,4.8986e+04,4.5374e+04,1.9246e+05,2.0763e+05,1.2504e+05,2.7773e+08,5.2238e+05
F20:Hybrid6 (N=6),Hybrid,Mean,9.2264e+05,7.9568e+05,7.9817e+06,1.0174e+07,3.2568e+06,2.2803e+06,2.2796e+06,8.1447e+04,2.3608e+06,6.9102e+06,9.9313e+06,2.2874e+08,3.4722e+06
,,Std,5.7622e+05,6.2877e+05,4.3392e+06,8.5287e+06,1.5779e+06,1.6274e+06,2.4623e+06,8.4895e+04,2.1392e+06,5.2275e+06,1.2675e+07,1.9824e+08,1.8405e+06
F21:Composition1 (N=3),Composition,Mean,4.7492e+09,1.1989e+10,4.0078e+10,1.4125e+10,5.8988e+10,1.2243e+10,1.1833e+10,9.4614e+09,1.7382e+10,1.3704e+09,1.4128e+11,3.5991e+11,5.6512e+10
,,Std,1.8019e+10,2.7260e+10,3.1217e+10,2.3242e+10,1.9640e+10,2.6754e+10,2.6909e+10,2.4532e+10,3.2109e+10,6.0279e+08,6.2477e+10,7.5640e+10,2.8184e+10
F22:Composition2 (N=3),Composition,Mean,2.5819e+10,2.5942e+10,3.7319e+10,3.3404e+10,7.8263e+10,1.1904e+10,4.0546e+10,2.2112e+10,2.6469e+10,1.2620e+09,1.7286e+11,3.7396e+11,5.3056e+10
,,Std,4.7565e+10,4.7825e+10,4.3110e+10,4.8045e+10,3.9680e+10,3.3703e+10,5.4196e+10,4.4980e+10,4.8451e+10,7.1662e+08,8.4918e+10,9.0004e+10,4.5420e+10
F23:Composition3 (N=4),Composition,Mean,2.3557e+15,4.4673e+15,3.9017e+15,3.2234e+15,2.1731e+15,2.1723e+15,2.8843e+15,2.3356e+15,7.3832e+15,3.2575e+15,1.2371e+16,1.6786e+16,2.1515e+15
,,Std,2.9626e+14,1.1996e+15,8.7822e+14,7.3200e+14,4.5585e+13,4.6759e+13,6.2696e+14,2.3520e+14,3.4630e+15,1.9722e+14,6.2427e+15,9.0936e+15,7.6282e-01
F24:Composition4 (N=4),Composition,Mean,8.4393e+15,1.5222e+16,1.3134e+16,1.1137e+16,7.6925e+15,7.7765e+15,1.1168e+16,8.6774e+15,2.3434e+16,1.2185e+16,3.0823e+16,3.8225e+16,7.5368e+15
,,Std,8.6845e+14,4.0529e+15,2.7991e+15,1.5258e+15,2.5545e+14,3.1968e+14,1.9767e+15,8.6916e+14,6.8040e+15,1.4190e+15,2.1829e+16,1.5744e+16,7.7774e+13
F25:Composition5 (N=5),Composition,Mean,5.1346e+20,1.1824e+20,1.3678e+27,1.0843e+26,2.0562e+27,1.4948e+24,3.1525e+18,3.0872e+18,4.2506e+23,5.9749e+25,3.0520e+28,7.8608e+28,1.0817e+25
,,Std,4.1163e+20,1.2704e+20,1.6724e+27,3.0252e+26,1.0591e+27,2.9668e+24,2.1854e+18,1.4414e+19,1.2184e+24,2.7715e+26,1.9092e+28,2.5508e+28,7.0673e+24
F26:Composition6 (N=5),Composition,Mean,5.6120e+20,1.7940e+20,7.6147e+26,7.8762e+25,2.3273e+27,2.8400e+23,4.2067e+18,1.0305e+19,6.6349e+22,3.5130e+25,3.0354e+28,7.6723e+28,8.7412e+24
,,Std,7.0449e+20,2.5361e+20,8.7510e+26,8.1383e+25,1.5473e+27,5.3457e+23,2.7170e+18,4.6440e+19,1.9874e+23,7.9398e+25,2.3473e+28,2.6519e+28,4.6855e+24
F27:Composition7 (N=6),Composition,Mean,1.3387e+10,1.8812e+10,6.8706e+10,6.1064e+10,5.8419e+10,5.1546e+10,6.0439e+10,5.6411e+10,7.6172e+10,7.4304e+10,1.1408e+11,1.2417e+11,5.7806e+10
,,Std,2.2526e+10,3.1461e+10,1.8972e+10,2.3039e+10,5.5585e+08,1.9097e+10,2.4525e+10,1.7534e+10,4.4498e+10,2.5982e+09,3.5425e+10,2.6767e+10,1.5867e+08
F28:Composition8 (N=3),Composition,Mean,4.8749e+10,4.2014e+10,6.9291e+10,6.0093e+10,5.4147e+10,4.9804e+10,6.0383e+10,5.4470e+10,8.1492e+10,6.3203e+10,1.0457e+11,1.1983e+11,5.3686e+10
,,Std,1.7881e+10,2.9082e+10,6.5987e+09,1.0446e+10,9.9543e+08,1.3580e+10,4.8508e+09,8.7512e+09,2.2805e+10,2.3151e+09,2.2514e+10,3.3855e+10,9.4330e+07
F29:Composition9 (N=3),Composition,Mean,5.3498e+08,2.6876e+09,6.5169e+09,4.7181e+09,3.7237e+09,3.2954e+09,4.4203e+09,4.2160e+09,1.0547e+10,5.9954e+09,1.8709e+10,2.6760e+10,3.6020e+09
,,Std,1.3912e+09,4.4152e+09,1.7253e+09,2.2794e+09,2.6055e+08,1.1224e+09,2.0658e+09,1.4238e+09,6.8929e+09,5.3995e+08,1.0764e+10,1.0816e+10,2.1732e+07
F30:Composition10 (N=3),Composition,Mean,1.3748e+04,1.3134e+04,2.1392e+04,2.1479e+04,2.2201e+04,1.4561e+04,2.0844e+04,1.3120e+04,1.8833e+04,2.1708e+04,3.3941e+04,3.7552e+04,2.1659e+04
,,Std,1.0488e+04,1.0746e+04,3.6337e+03,4.2708e+03,1.5642e+02,1.0261e+04,3.9005e+03,1.0737e+04,8.5382e+03,7.4100e+01,4.2392e+03,3.1851e+03,3.9491e+01
