Function,Type,Metric,GOA,PSO,GWO,WOA,DE,RIME,MVO,TLBO,SO,SHO,SCSO,SLO,CCO
F1:BentCigar (Unimodal),Unimodal,Mean,1.7081e+06,4.9491e+05,1.3255e+09,7.7280e+08,3.9767e+09,2.6921e+07,1.9681e+05,6.9017e+03,4.6595e+05,8.3138e+07,1.1001e+10,2.9084e+10,1.7831e+08
,,Std,6.5476e+05,5.7428e+05,9.8513e+08,7.4139e+08,1.1183e+09,3.3957e+07,7.5119e+04,7.7313e+03,5.8851e+05,5.1249e+07,6.2650e+09,7.1673e+09,4.7046e+07
F3:Zakharov (Unimodal),Unimodal,Mean,1.5477e+04,4.3629e+04,4.7140e+04,4.8633e+04,1.8275e+05,4.8717e+04,2.5801e+03,4.0936e+04,1.3698e+05,7.2803e+04,1.9540e+05,3.2033e+05,1.4277e+05
,,Std,6.8026e+03,1.5630e+04,1.0410e+04,1.0651e+04,2.4651e+04,8.6477e+03,2.3041e+03,1.0001e+04,3.7573e+04,1.2383e+04,6.2518e+04,1.0114e+05,1.1989e+04
F4:Rosenbrock (Multimodal),Multimodal,Mean,3.5565e+04,5.9351e+04,3.1350e+07,2.0993e+07,3.1945e+08,3.1836e+05,3.4370e+03,8.9506e+03,3.4228e+05,1.0820e+06,3.5258e+09,1.8396e+10,4.1513e+06
,,Std,6.4402e+04,7.6229e+04,2.8193e+07,3.0437e+07,1.6192e+08,2.5770e+05,5.3363e+03,1.9818e+04,6.9822e+05,1.2121e+06,3.0437e+09,8.5090e+09,1.6096e+06
F5:Rastrigin (Multimodal),Multimodal,Mean,2.0198e+02,2.1656e+02,2.8596e+03,2.3401e+03,4.5551e+03,5.4566e+02,1.9828e+02,3.5442e+02,1.5916e+03,3.7251e+02,2.8305e+04,4.7020e+04,5.5986e+02
,,Std,3.9214e+01,4.5700e+01,2.1957e+03,9.6997e+02,8.9414e+02,2.3392e+02,5.3936e+01,2.1620e+02,5.1740e+02,1.0064e+02,1.0064e+04,9.6350e+03,6.7165e+01
F6:ScafferF6 (Multimodal),Multimodal,Mean,1.1784e+01,1.2246e+01,1.2044e+01,1.2922e+01,1.3044e+01,1.1544e+01,1.2190e+01,1.2585e+01,1.3312e+01,1.3154e+01,1.3469e+01,1.3495e+01,1.3026e+01
,,Std,3.7771e-01,4.3204e-01,6.8534e-01,3.3651e-01,4.1096e-01,5.7079e-01,7.7159e-01,3.8029e-01,3.7856e-01,2.0669e-01,3.4759e-01,3.4013e-01,2.3382e-01
F7:LunacekBiRast (Multimodal),Multimodal,Mean,2.1148e+02,2.4081e+02,1.7994e+03,2.1504e+03,3.8684e+03,5.7078e+02,2.2096e+02,3.4009e+02,1.5749e+03,3.6369e+02,2.0263e+04,3.1181e+04,5.3620e+02
,,Std,2.2666e+01,4.7821e+01,1.0324e+03,8.8718e+02,9.9252e+02,2.5600e+02,4.3124e+01,1.6376e+02,4.4380e+02,8.8284e+01,5.3676e+03,6.1384e+03,6.1404e+01
F8:NonContRast (Multimodal),Multimodal,Mean,1.9471e+02,2.3927e+02,1.9407e+03,1.8222e+03,5.3704e+03,7.1659e+02,2.5197e+02,5.3733e+02,1.8020e+03,2.8554e+02,2.9786e+04,2.9223e+04,5.9157e+02
,,Std,3.9603e+01,5.3214e+01,1.0701e+03,5.5038e+02,1.6198e+03,2.7131e+02,5.2050e+01,3.4892e+02,6.6531e+02,6.0420e+01,7.5580e+03,7.0951e+03,8.9987e+01
F9:Levy (Multimodal),Multimodal,Mean,6.1772e+02,8.8186e+01,1.6071e+03,6.9853e+03,4.7087e+03,1.7815e+03,3.7447e+03,3.9670e+02,7.9984e+03,4.4903e+01,8.5686e+03,1.0361e+04,2.7836e+03
,,Std,4.3527e+02,7.4459e+01,1.2652e+03,2.5746e+03,1.3110e+03,7.2195e+02,2.0496e+03,2.8512e+02,1.1561e+03,2.7372e+01,2.4419e+03,2.7067e+03,7.8234e+02
F10:ModSchwefel (Multimodal),Multimodal,Mean,4.1733e+02,4.3500e+02,9.8736e+02,1.6618e+03,1.9436e+03,6.3549e+02,7.3186e+02,5.3412e+02,2.3878e+03,1.7449e+02,2.8361e+03,4.6534e+03,5.3717e+02
,,Std,3.4072e+02,3.5903e+02,4.6076e+02,6.1959e+02,6.0077e+02,3.4434e+02,4.4972e+02,4.1486e+02,9.2945e+02,1.6003e+02,9.5345e+02,8.8130e+02,3.3679e+02
F11:Hybrid1 (N=3),Hybrid,Mean,2.4370e+04,5.3046e+03,2.6669e+05,3.2474e+05,2.5124e+05,1.2552e+05,7.3861e+04,1.2623e+04,6.1937e+04,5.3109e+04,5.1691e+06,1.6119e+08,1.1588e+05
,,Std,1.8802e+04,5.7657e+03,1.9475e+05,2.6519e+05,1.0799e+05,4.7614e+04,2.1404e+04,4.9365e+04,2.5315e+04,1.1174e+04,8.9024e+06,2.1784e+08,6.8493e+04
F12:Hybrid2 (N=4),Hybrid,Mean,3.4121e+06,1.7168e+06,7.6463e+07,5.0572e+07,1.3555e+08,5.7091e+06,9.1858e+06,1.9179e+05,1.6262e+07,1.9781e+07,3.2514e+08,3.2024e+09,1.5923e+07
,,Std,2.6321e+06,1.1944e+06,8.2777e+07,4.4044e+07,5.4419e+07,5.4312e+06,5.8816e+06,1.9827e+05,1.6947e+07,1.1598e+07,2.8432e+08,1.3228e+09,7.4056e+06
F13:Hybrid3 (N=5),Hybrid,Mean,1.6297e+05,3.5606e+05,5.2163e+07,1.7561e+07,1.6868e+08,1.2060e+06,9.8258e+05,2.6851e+04,6.5473e+05,2.5989e+06,7.5998e+08,1.0359e+10,2.0040e+06
,,Std,1.0149e+05,1.7991e+06,8.5261e+07,2.3606e+07,8.7446e+07,1.7633e+06,4.9209e+05,2.2329e+04,2.6180e+05,1.5409e+06,1.1127e+09,6.5209e+09,1.5754e+06
F14:Hybrid4 (N=3),Hybrid,Mean,4.6719e+03,4.9618e+04,6.8687e+05,6.0878e+05,7.3223e+01,9.4896e+04,3.1024e+04,1.9176e+04,2.2291e+05,5.2653e+05,1.4292e+06,8.4853e+06,5.7176e+04
,,Std,6.8675e+03,6.5610e+04,1.1199e+06,7.6305e+05,1.0974e+01,1.0158e+05,2.5870e+04,2.3628e+04,3.4763e+05,6.3886e+05,2.1645e+06,9.4244e+06,3.3025e+04
F15:Hybrid5 (N=4),Hybrid,Mean,3.7373e+03,3.2192e+04,6.0010e+04,9.1286e+04,1.5606e+02,4.4049e+04,8.4139e+04,5.3364e+04,7.3740e+04,3.7661e+04,3.5100e+04,1.5218e+05,5.9740e+04
,,Std,3.5009e+03,2.3018e+04,3.5329e+04,3.7947e+04,4.0333e+01,2.6176e+04,3.1470e+04,2.7438e+04,2.9663e+04,2.1233e+04,2.1573e+04,5.9121e+04,2.4461e+04
F16:Hybrid6 (N=4),Hybrid,Mean,5.5774e+03,3.6169e+03,3.4453e+04,6.1644e+04,1.0141e+04,1.3744e+04,3.1197e+04,2.9650e+03,2.9310e+04,4.2059e+04,1.3724e+05,8.7353e+06,3.1280e+04
,,Std,3.8772e+03,5.1645e+03,1.8807e+04,3.4253e+04,2.1018e+03,1.0403e+04,2.9660e+04,1.5134e+03,2.0968e+04,1.2446e+04,4.0403e+05,1.6387e+07,1.7246e+04
F17:Hybrid6 (N=5),Hybrid,Mean,3.6346e+01,4.4113e+01,7.3479e+01,2.8625e+02,5.0043e+01,1.1020e+02,7.9628e+01,8.7970e+01,6.2604e+02,3.1361e+01,9.9296e+02,1.1690e+03,3.7401e+01
,,Std,6.3330e+01,6.4395e+01,7.3295e+01,2.2223e+02,5.5078e+00,1.5773e+02,1.3186e+02,1.4579e+02,4.1974e+02,2.2679e+00,4.3683e+02,4.1805e+02,2.7636e+00
