Function,Type,Metric,GOA,PSO,GWO,WOA,DE,RIME,MVO,TLBO,SO,SHO,SCSO,SLO,CCO
F1:Shifted Bent Cigar,Simple,Mean,3.7649e+02,2.0728e+03,9.6216e+03,8.8971e+03,3.9449e+04,8.5072e+03,1.3208e+00,2.0828e+03,2.8470e+04,1.4707e+04,4.5075e+04,1.3396e+05,3.6245e+04
,,Std,3.3258e+02,1.0130e+03,4.8215e+03,4.4846e+03,9.7339e+03,4.1864e+03,6.8736e-01,1.3612e+03,1.1488e+04,4.2333e+03,2.5321e+04,4.8227e+04,6.7738e+03
F2:Shifted Schwefel,Simple,Mean,6.1857e+01,5.7936e+01,9.6698e+01,1.1594e+02,7.8678e+01,7.2998e+01,5.0222e+01,5.4075e+01,7.0601e+01,5.7848e+01,2.5276e+02,7.4999e+02,5.0513e+01
,,Std,1.6176e+01,1.5640e+01,4.1662e+01,5.9124e+01,7.8229e+00,2.0523e+01,7.8985e+00,1.4652e+01,2.4626e+01,3.4258e+00,1.1124e+02,3.5015e+02,2.3322e+00
F3:Shifted Lunacek,Simple,Mean,9.6918e-01,2.7081e-01,5.1725e+00,4.8453e+01,1.7907e+01,3.1702e+00,1.5922e+01,2.7122e+00,6.2961e+01,1.0121e+00,6.3695e+01,7.6427e+01,6.5583e+00
,,Std,3.1220e-01,4.8552e-01,3.5606e+00,1.2871e+01,4.4710e+00,3.0521e+00,1.5315e+01,2.6869e+00,9.1297e+00,3.0841e-01,1.3233e+01,1.4420e+01,8.6290e-01
F4:Shifted Rosenbrock,Simple,Mean,3.7445e+01,4.5919e+01,6.6439e+01,1.0862e+02,1.4658e+02,4.8613e+01,6.6222e+01,4.9214e+01,1.3926e+02,7.7022e+01,1.3445e+02,1.7127e+02,9.9732e+01
,,Std,6.3157e+00,2.2083e+01,3.8843e+01,3.1263e+01,1.4736e+01,1.2212e+01,2.2855e+01,1.7780e+01,2.6144e+01,2.5140e+01,3.7950e+01,2.5491e+01,8.7720e+00
F5:Shifted Rastrigin,Simple,Mean,2.3791e+01,1.9598e+01,2.4334e+02,2.2901e+03,1.0445e+03,4.1063e+02,9.5650e+02,4.2898e+01,3.0879e+03,8.9679e+00,3.6877e+03,3.0514e+03,3.5119e+02
,,Std,2.4739e+01,3.6274e+01,2.1286e+02,1.1809e+03,3.8018e+02,3.7997e+02,1.0803e+03,1.2376e+02,8.2907e+02,9.8394e+00,1.3100e+03,1.6350e+03,1.6841e+02
F6:Hybrid1 (N=3),Hybrid,Mean,2.3094e+03,4.7417e+03,6.8424e+05,2.8832e+05,5.1727e+05,5.6861e+03,9.4958e+03,3.1286e+03,1.0110e+04,1.6642e+05,4.4707e+05,2.9949e+08,2.1138e+06
,,Std,2.4836e+03,3.6111e+03,2.0116e+06,8.7185e+05,3.9768e+05,7.6091e+03,7.0795e+03,3.8604e+03,6.6305e+03,7.6113e+04,1.1310e+06,2.2702e+08,1.6678e+06
F7:Hybrid2 (N=4),Hybrid,Mean,5.4277e+01,5.4842e+01,8.2356e+01,1.5575e+02,7.7038e+01,4.8494e+01,1.2762e+02,5.2450e+01,2.3448e+02,7.0958e+01,2.5910e+02,2.5687e+02,9.0843e+01
,,Std,1.1936e+01,3.3893e+01,4.4035e+01,5.4330e+01,2.9658e+01,1.4494e+01,5.7756e+01,1.5476e+01,8.9656e+01,1.3947e+01,8.9889e+01,6.3313e+01,1.4393e+01
F8:Hybrid3 (N=4),Hybrid,Mean,2.5457e+01,5.6167e+01,7.7144e+01,5.9748e+01,4.0093e+01,2.7110e+01,1.0999e+02,3.6748e+01,2.9720e+02,3.7792e+01,2.4962e+02,2.3604e+02,3.9938e+01
,,Std,2.2960e+00,5.1147e+01,5.8941e+01,4.5328e+01,4.3404e+00,2.1856e+00,7.4355e+01,4.6207e+00,2.0786e+02,3.1361e+00,1.7305e+02,1.5946e+02,3.9790e+00
F9:Composition1 (N=3),Composition,Mean,1.8163e+02,1.8174e+02,2.0964e+02,2.1772e+02,1.8210e+02,1.8114e+02,1.8126e+02,1.8078e+02,2.2125e+02,1.8606e+02,2.1606e+02,4.6585e+02,1.8164e+02
,,Std,7.2966e-01,5.6377e-01,2.5418e+01,3.2371e+01,5.3608e-01,5.2482e-01,2.2902e-01,1.6298e-07,4.0620e+01,1.6905e+00,2.5208e+01,8.6586e+01,4.4945e-01
F10:Composition2 (N=3),Composition,Mean,1.4048e+02,3.6030e+02,1.3842e+03,2.0479e+03,5.2435e+02,4.4750e+02,1.4625e+03,4.2270e+02,2.3136e+03,4.7425e+02,2.8609e+03,4.4073e+03,1.0078e+02
,,Std,8.1579e+01,2.2873e+02,8.0355e+02,1.1711e+03,9.4985e+02,5.8412e+02,1.0238e+03,7.8336e+02,8.0282e+02,1.0916e+03,8.7160e+02,8.7848e+02,1.3839e-01
F11:Composition3 (N=4),Composition,Mean,3.3107e+02,3.3540e+02,7.9063e+02,6.5480e+02,7.3755e+02,3.7918e+02,3.1389e+02,3.3039e+02,6.5505e+02,6.8604e+02,1.9344e+03,3.6400e+03,6.0209e+02
,,Std,7.4900e+01,5.0434e+01,2.0220e+02,3.4976e+02,9.1798e+01,2.2985e+02,9.4899e+01,5.3387e+01,1.3035e+03,7.0774e+01,1.0125e+03,9.8315e+02,1.9245e+02
F12:Composition4 (N=4),Composition,Mean,2.6628e+02,2.7468e+02,2.7330e+02,3.1124e+02,2.4321e+02,2.4846e+02,2.6753e+02,2.6429e+02,7.1687e+02,2.6840e+02,5.9433e+02,7.8871e+02,2.4517e+02
,,Std,1.9345e+01,2.4846e+01,2.5116e+01,3.6079e+01,3.5451e+00,8.6281e+00,2.4871e+01,2.4930e+01,2.3891e+02,7.2236e+00,1.9686e+02,2.7104e+02,2.5060e+00

Friedman Rank,,,2.75,4.08,8.08,9.17,8.08,4.17,5.50,3.08,10.25,5.75,11.50,12.58,6.00
