Function,Type,Metric,GOA,PSO,GWO,WOA,DE,RIME,MVO,TLBO,SO,SHO,SCSO,SLO,CCO
F6:Hybrid1 (N=3),Hybrid,Mean,2.3325e+02,1.6616e+03,3.8742e+03,2.5987e+03,5.6557e+00,3.0783e+03,3.1000e+03,1.3878e+03,1.7303e+03,2.5494e+03,1.6468e+03,1.1241e+06,4.9868e+03
,,Std,4.1003e+02,1.5143e+03,2.6397e+03,2.2952e+03,1.4758e+00,2.2786e+03,2.0094e+03,1.7316e+03,1.7921e+03,1.9538e+03,1.8650e+03,1.4742e+06,3.6975e+03
F7:Hybrid2 (N=4),Hybrid,Mean,1.3766e+01,1.6081e+01,3.2583e+01,3.8414e+01,2.4136e+01,1.6892e+01,4.1884e+01,1.6326e+01,9.4478e+01,3.3542e+01,9.6451e+01,1.0132e+02,2.2778e+01
,,Std,7.6077e+00,8.9256e+00,1.1804e+01,1.1812e+01,3.1211e+00,7.9006e+00,3.0059e+01,8.4837e+00,3.9978e+01,5.9044e+00,3.6213e+01,3.7536e+01,3.2726e+00
F8:Hybrid3 (N=4),Hybrid,Mean,1.8766e+01,1.6608e+01,2.6329e+01,2.7828e+01,1.1065e+01,1.7894e+01,3.8339e+01,1.9665e+01,8.0635e+01,2.8764e+01,6.0049e+01,5.5334e+01,2.6261e+01
,,Std,6.5043e+00,8.2247e+00,6.5290e+00,4.9293e+00,7.6749e+00,7.3649e+00,3.4880e+01,9.5644e+00,8.1994e+01,1.8220e+00,4.6586e+01,3.3910e+01,2.3029e+00
F9:Composition1 (N=3),Composition,Mean,2.3419e+02,2.3484e+02,2.5766e+02,2.4130e+02,2.2928e+02,2.2928e+02,2.2937e+02,2.2928e+02,2.6339e+02,2.2993e+02,2.6789e+02,3.5401e+02,2.2928e+02
,,Std,2.6825e+01,2.6706e+01,3.1692e+01,2.1458e+01,4.0459e-09,9.6235e-05,7.6654e-02,2.2933e-13,4.1121e+01,5.5426e-01,5.9281e+01,6.1208e+01,5.6856e-05
F10:Composition2 (N=3),Composition,Mean,1.1097e+02,1.7303e+02,1.7667e+02,2.0509e+02,1.0541e+02,1.5884e+02,2.2718e+02,1.1466e+02,3.8698e+02,1.0058e+02,4.0507e+02,4.3004e+02,1.0047e+02
,,Std,3.2477e+01,6.7918e+01,7.7376e+01,2.1400e+02,2.6349e+01,6.1751e+01,2.4502e+02,3.7056e+01,3.5988e+02,6.3947e-02,4.6388e+02,6.0540e+02,7.5379e-02
F11:Composition3 (N=4),Composition,Mean,1.0183e+01,8.0241e+01,1.9526e+02,2.2564e+02,4.1281e-01,8.7144e+01,1.1063e+02,1.0822e+02,1.7305e+02,1.4323e+02,2.8451e+02,4.7059e+02,2.6275e+01
,,Std,5.4769e+01,1.4935e+02,1.7909e+02,1.8835e+02,2.6467e-01,1.4326e+02,1.6052e+02,1.4822e+02,2.0058e+02,2.8065e+00,2.1706e+02,3.1766e+02,4.8533e+01
F12:Composition4 (N=4),Composition,Mean,1.6488e+02,1.6604e+02,1.6846e+02,1.6811e+02,1.6074e+02,1.6200e+02,1.6357e+02,1.6399e+02,2.3176e+02,1.6437e+02,2.3939e+02,2.5394e+02,1.6203e+02
,,Std,8.1081e-01,1.5035e+00,1.2034e+01,6.6173e+00,1.2016e+00,1.0645e+00,1.5516e+00,1.3387e+00,4.3163e+01,3.1694e-01,5.4286e+01,6.0904e+01,1.2275e+00

Friedman Rank,,,3.17,3.92,8.58,9.33,4.33,4.67,6.75,3.42,10.17,6.67,11.25,12.67,6.08
