Function,Type,Metric,GOA,PSO,GWO,WOA,DE,RIME,MVO,TLBO,SO,SHO,SCSO,SLO,CCO
F1:Shifted Bent Cigar,Simple,Mean,1.3095e-01,1.3549e-01,8.4186e+02,9.4483e+02,5.1107e+01,1.6259e+01,1.8237e-02,5.6843e-14,1.1410e+02,6.2892e+02,2.1481e+04,3.7512e+04,2.7696e+03
,,Std,1.0627e-01,1.9716e-01,1.4000e+03,1.2329e+03,3.3624e+01,1.0491e+01,8.1066e-03,3.3380e-14,2.0442e+02,5.3294e+02,1.3000e+04,1.1975e+04,1.0010e+03
F2:Shifted Schwefel,Simple,Mean,4.6881e+00,3.7609e+00,2.4037e+01,2.0943e+01,5.0588e+00,8.1887e+00,6.4518e+00,3.4111e+00,2.0534e+01,1.4104e+01,3.4047e+01,1.3681e+02,7.4467e+00
,,Std,1.3009e+01,3.8042e+00,1.8466e+01,2.7323e+01,2.1999e+00,1.6389e+00,3.1165e+00,3.5120e+00,2.8061e+01,8.1968e+00,3.3530e+01,7.4908e+01,1.9246e+00
F3:Shifted Lunacek,Simple,Mean,5.1602e-02,8.4965e-05,7.2702e-01,1.3161e+01,8.4272e-01,1.6200e-02,2.3221e+00,9.8179e-02,3.9244e+01,3.8471e-01,4.2184e+01,4.9597e+01,4.0491e-01
,,Std,3.3411e-02,7.8583e-05,1.0097e+00,7.7265e+00,3.9697e-01,2.3153e-02,3.2468e+00,3.2311e-01,1.0073e+01,1.3064e-01,1.3583e+01,1.6637e+01,1.9471e-01
F4:Shifted Rosenbrock,Simple,Mean,6.1981e+00,1.0845e+01,1.5452e+01,3.4853e+01,4.5221e+01,1.5802e+01,1.8972e+01,1.1850e+01,4.4473e+01,1.9408e+01,4.3260e+01,5.2413e+01,1.9666e+01
,,Std,2.3639e+00,5.0284e+00,1.1468e+01,1.6106e+01,6.3285e+00,7.2303e+00,1.0665e+01,5.6046e+00,1.8193e+01,8.5507e+00,2.0404e+01,1.2653e+01,3.1846e+00
F5:Shifted Rastrigin,Simple,Mean,7.2575e-02,1.2258e-01,7.6501e+00,2.3761e+02,1.3695e+00,6.3670e-01,1.3532e-01,1.4503e-01,9.4591e+02,6.8910e-01,1.1514e+03,6.0031e+02,2.8845e+00
,,Std,1.5898e-01,2.2965e-01,1.0599e+01,5.5045e+02,9.4488e-01,1.4698e+00,4.1103e-01,2.6205e-01,2.6040e+02,3.8588e-01,7.3115e+02,4.0830e+02,2.5126e+00
