Image,K,Metric,GOA,PSO,GWO,WOA,DE,RIME,MVO,TLBO,SO,SHO,SCSO,SLO,CCO
Histology H&E,K=7,Entropy(mean),22.6785,22.6831,22.6436,22.6741,22.4704,22.6812,22.6675,22.6574,22.6796,22.4460,22.5445,22.5866,22.6220
,,Entropy(std),0.0127,0.0129,0.0722,0.0157,0.0627,0.0142,0.0204,0.0224,0.0132,0.0819,0.1403,0.0674,0.0180
,,PSNR(mean),23.1929,22.6470,23.2167,23.4520,21.9760,23.2117,23.2164,22.7820,22.2520,21.6351,21.0231,21.3947,23.2378
,,SSIM(mean),0.7614,0.7608,0.7594,0.7608,0.7507,0.7608,0.7609,0.7610,0.7603,0.7483,0.7459,0.7535,0.7594
Histology H&E,K=10,Entropy(mean),29.1262,29.1493,28.9725,29.1174,28.5541,29.1291,29.1202,28.9548,29.1242,28.3934,28.8048,28.8396,28.9392
,,Entropy(std),0.0288,0.0290,0.1697,0.0466,0.1246,0.0405,0.0336,0.1091,0.0581,0.1729,0.2585,0.1859,0.0522
,,PSNR(mean),24.1453,24.6647,24.4597,24.5985,23.6190,24.5799,25.1244,24.5120,24.2535,21.8351,22.6919,23.2602,24.6918
,,SSIM(mean),0.8537,0.8526,0.8493,0.8526,0.8334,0.8530,0.8534,0.8463,0.8502,0.8205,0.8278,0.8339,0.8484
Fluorescence Microscopy,K=3,Entropy(mean),12.1697,12.1697,12.1696,12.1697,12.1697,12.1697,12.1697,12.1697,12.1697,12.1694,12.1696,12.1691,12.1697
,,Entropy(std),0.0000,0.0000,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0004,0.0002,0.0009,0.0000
,,PSNR(mean),10.7331,10.7331,10.7331,10.7331,10.7331,10.7331,10.7331,10.7331,10.7331,10.7304,10.7327,10.7331,10.7331
,,SSIM(mean),0.0353,0.0353,0.0353,0.0353,0.0353,0.0353,0.0353,0.0353,0.0353,0.0351,0.0352,0.0352,0.0353
Fluorescence Microscopy,K=5,Entropy(mean),18.4091,18.4093,18.3998,18.4092,18.3813,18.4092,18.3951,18.4092,18.4086,18.3056,18.2783,18.3707,18.4072
,,Entropy(std),0.0011,0.0000,0.0202,0.0001,0.0224,0.0000,0.0737,0.0000,0.0020,0.0538,0.1798,0.0556,0.0031
