Function,Type,Metric,GOA,PSO,GWO,WOA,DE,RIME,MVO,TLBO,SO,SHO,SCSO,SLO,CCO
F1:BentCigar (Unimodal),Unimodal,Mean,9.4480e+02,2.6873e+03,1.2741e+07,3.9323e+05,1.8026e+04,5.7577e+03,8.6090e+03,1.5466e+03,9.9495e+03,6.5524e+05,2.5849e+07,2.0575e+09,1.4525e+05
,,Std,1.1193e+03,3.0840e+03,6.3205e+07,7.9213e+05,1.4129e+04,3.7147e+03,4.2458e+03,2.4605e+03,4.1288e+03,5.4330e+05,6.7440e+07,1.5475e+09,2.4672e+05
F3:Zakharov (Unimodal),Unimodal,Mean,2.5145e-01,7.6779e-02,1.5561e+03,5.5745e+02,4.5500e+01,2.4460e+01,3.5378e-02,5.8738e-14,4.1423e+02,1.1885e+03,7.8743e+03,1.9551e+04,3.2944e+03
,,Std,3.2392e-01,1.3729e-01,1.9309e+03,1.0835e+03,3.4840e+01,1.8748e+01,2.2362e-02,4.3479e-14,1.0365e+03,7.9519e+02,7.0642e+03,1.2757e+04,1.2172e+03
F4:Rosenbrock (Multimodal),Multimodal,Mean,7.0304e+02,2.0931e+03,3.1204e+05,3.0321e+04,1.1114e+02,1.4680e+03,1.4092e+03,2.2807e+02,3.1907e+03,1.3572e+05,2.7486e+05,5.6053e+07,1.0413e+03
,,Std,1.3641e+03,4.7564e+03,1.2996e+06,3.3161e+04,9.2402e+01,4.2874e+03,3.7605e+03,4.2213e+02,6.0549e+03,2.1722e+05,4.8383e+05,8.1574e+07,2.4114e+03
F5:Rastrigin (Multimodal),Multimodal,Mean,1.2020e+01,1.6864e+01,1.0951e+02,1.0202e+02,4.8151e+01,1.0780e+01,2.3737e+01,1.7153e+01,1.8525e+01,4.5817e+01,9.7567e+02,3.2859e+03,2.0137e+01
,,Std,4.4706e+00,6.6217e+00,1.2535e+02,7.8834e+01,7.7800e+00,4.8329e+00,1.1932e+01,5.8353e+00,6.4012e+00,7.3227e+00,6.0330e+02,1.9341e+03,3.6461e+00
F6:ScafferF6 (Multimodal),Multimodal,Mean,2.3668e+00,2.6972e+00,2.6696e+00,3.1481e+00,3.5680e+00,2.5962e+00,3.0825e+00,2.4281e+00,3.7253e+00,3.1379e+00,3.9112e+00,3.9347e+00,3.1963e+00
,,Std,4.2699e-01,4.7583e-01,4.3936e-01,4.0001e-01,2.3240e-01,5.1286e-01,4.9395e-01,4.2787e-01,3.5376e-01,2.5085e-01,3.8085e-01,3.7755e-01,1.7911e-01
F7:LunacekBiRast (Multimodal),Multimodal,Mean,2.2025e+01,2.5629e+01,6.8706e+01,8.8183e+01,6.1629e+01,1.9572e+01,3.6192e+01,2.6674e+01,2.5955e+01,5.1049e+01,9.6277e+02,1.1675e+03,3.2869e+01
,,Std,3.4450e+00,8.9986e+00,7.1855e+01,2.6791e+01,6.1682e+00,4.3377e+00,1.0654e+01,7.1492e+00,6.0994e+00,6.3667e+00,3.7391e+02,4.6726e+02,4.6685e+00
F8:NonContRast (Multimodal),Multimodal,Mean,9.8508e+00,1.5339e+01,7.7420e+01,8.9998e+01,3.7309e+01,1.1233e+01,2.9767e+01,1.4411e+01,1.6475e+01,2.9012e+01,1.2142e+03,1.5515e+03,1.7583e+01
