Function,Type,Metric,GOA,PSO,GWO,WOA,DE,RIME,MVO,TLBO,SO,SHO,SCSO,SLO,CCO
,,Std,2.7415e+00,6.6866e+00,6.2358e+01,5.3369e+01,7.9500e+00,3.2977e+00,1.2790e+01,6.5521e+00,6.2411e+00,8.0663e+00,8.2449e+02,6.3508e+02,3.5255e+00
F9:Levy (Multimodal),Multimodal,Mean,4.4094e-02,3.6149e-08,9.5623e+00,1.6188e+02,1.4864e+00,6.7603e+00,3.6468e-01,4.2241e-01,1.0954e+03,9.7545e-01,1.3389e+03,7.1219e+02,1.6528e+00
,,Std,9.8619e-02,1.4049e-07,1.7318e+01,1.8372e+02,1.0502e+00,3.1641e+01,5.5164e-01,6.7213e-01,4.0278e+02,7.1148e-01,6.1468e+02,5.1610e+02,1.6212e+00
F10:ModSchwefel (Multimodal),Multimodal,Mean,8.5620e+00,9.0949e-13,8.8163e+00,1.1770e+02,2.1693e-04,3.0349e+01,4.4017e+01,8.5618e+00,4.5145e+02,4.9408e-01,3.0022e+02,6.9191e+02,5.7407e-06
,,Std,4.6895e+01,7.1654e-13,4.6852e+01,2.0790e+02,1.2561e-04,9.2603e+01,1.3822e+02,4.6895e+01,3.7397e+02,4.3569e-01,2.9245e+02,3.9055e+02,8.3688e-06
F11:Hybrid1 (N=3),Hybrid,Mean,1.8985e+02,3.8350e+02,4.4023e+05,5.8333e+04,4.3258e+01,1.2384e+03,1.2879e+04,3.8661e+01,1.1469e+04,2.5540e+05,6.0032e+05,1.6741e+07,2.2528e+03
,,Std,4.2510e+02,1.3520e+03,4.7735e+05,1.4362e+05,4.5891e+01,2.0675e+03,1.6169e+04,9.4154e+01,1.1247e+04,2.1567e+05,1.1796e+06,7.7485e+07,3.6698e+03
F12:Hybrid2 (N=4),Hybrid,Mean,9.2873e+03,1.2537e+04,9.1370e+05,1.1581e+06,1.3869e+02,7.8186e+04,1.0276e+06,2.1986e+04,9.8074e+05,1.4591e+06,1.1836e+06,1.6041e+07,2.3570e+05
,,Std,7.1280e+03,1.2632e+04,1.0626e+06,1.0591e+06,6.6377e+01,1.1836e+05,1.0513e+06,3.2899e+04,1.2013e+06,1.3436e+06,2.5463e+06,1.6269e+07,2.7684e+05
F13:Hybrid3 (N=5),Hybrid,Mean,3.8629e+03,6.5307e+03,8.7041e+04,1.2725e+05,1.0677e+02,1.8816e+04,2.2911e+05,6.5417e+03,1.7008e+05,8.1748e+04,5.7467e+04,6.0969e+06,1.5359e+04
,,Std,4.6488e+03,6.7745e+03,7.4239e+04,1.4586e+05,1.2641e+02,2.0058e+04,3.3040e+05,6.4249e+03,2.3689e+05,9.6297e+04,1.0949e+05,9.2853e+06,1.1603e+04
F14:Hybrid4 (N=3),Hybrid,Mean,1.0031e+01,1.3177e+02,2.2087e+03,6.6995e+02,2.7220e+00,3.6547e+01,1.3970e+02,3.5965e+01,1.6646e+03,2.5303e+02,3.2142e+01,7.6748e+02,6.0860e+01
,,Std,9.3761e+00,3.1868e+02,1.7762e+03,1.2875e+03,3.9193e+00,2.5185e+01,2.0441e+02,9.5418e+00,3.1443e+03,2.1039e+02,3.6984e+01,9.2537e+02,4.8735e+01
F15:Hybrid5 (N=4),Hybrid,Mean,2.0372e+01,2.0428e+01,2.0979e+01,2.1619e+01,2.0358e+01,2.0105e+01,2.1368e+01,2.0906e+01,2.0458e+01,2.1738e+01,3.0435e+01,7.4565e+01,2.1734e+01
,,Std,1.6533e-01,3.9840e-01,4.7902e-01,1.1225e+00,1.0858e-01,1.8322e-01,5.8987e-01,2.6602e-01,3.2452e-01,4.2989e-01,7.8106e+00,5.1877e+01,6.1561e-01
F16:Hybrid6 (N=4),Hybrid,Mean,2.0899e+02,4.5181e+02,1.5270e+03,1.0710e+03,1.9509e+01,2.9749e+02,5.1388e+02,2.6689e+02,2.5251e+03,9.6061e+02,3.1652e+03,1.5282e+04,5.6827e+02
,,Std,2.1573e+02,3.3141e+02,1.8686e+03,1.2768e+03,8.8420e+01,2.5233e+02,2.9273e+02,2.6398e+02,3.5298e+03,2.7151e+02,8.8355e+03,1.3682e+04,1.8757e+02
F17:Hybrid6 (N=5),Hybrid,Mean,2.3572e+00,1.4004e+01,2.2371e+01,2.7369e+01,7.8052e+00,1.4505e+01,2.3630e+01,1.3354e+01,8.6568e+01,2.2523e+01,5.8483e+01,8.8069e+01,2.1489e+01
,,Std,3.6886e+00,1.0138e+01,6.1135e+00,4.5309e+00,2.8661e+00,9.0175e+00,4.5132e+00,9.3087e+00,1.4390e+02,3.4654e+00,2.9445e+01,4.1979e+01,6.7399e+00
F18:Hybrid7 (N=5),Hybrid,Mean,1.2798e+01,4.7185e+01,6.1869e+01,3.3756e+01,2.2573e+01,1.2870e+01,5.9382e+01,1.8216e+01,3.6843e+02,2.2662e+01,2.7725e+02,2.7063e+02,2.1160e+01
,,Std,7.9680e+00,8.0592e+01,8.3994e+01,4.2302e+01,4.4567e+00,9.7760e+00,8.5747e+01,6.2869e+00,3.1132e+02,1.2741e+00,2.2806e+02,1.9175e+02,2.8652e+00
F19:Hybrid6 (N=5),Hybrid,Mean,4.1916e+01,4.8131e+01,1.3292e+03,1.0684e+03,3.5768e+01,1.0362e+02,6.1095e+02,8.3090e+01,4.1274e+03,9.1297e+02,1.0765e+04,4.9719e+04,3.7480e+02
,,Std,8.4023e+01,1.1367e+02,2.1354e+03,1.5744e+03,1.8968e+01,1.5275e+02,3.7722e+02,1.5311e+02,5.4021e+03,4.4276e+02,8.6344e+03,3.7102e+04,2.3976e+02
F20:Hybrid6 (N=6),Hybrid,Mean,1.2894e+02,4.9295e+02,1.9889e+04,1.7441e+04,1.2412e+01,2.0862e+03,2.4011e+04,5.7144e+01,2.2318e+04,9.6932e+03,1.3808e+04,6.0757e+05,1.9454e+03
,,Std,1.8603e+02,7.9525e+02,1.5296e+04,8.4581e+03,9.0441e+00,2.0703e+03,1.2186e+04,1.1274e+02,1.3637e+04,3.9588e+03,1.3081e+04,5.5123e+05,1.1275e+03
F21:Composition1 (N=3),Composition,Mean,7.4615e+09,7.4787e+09,9.4555e+09,1.0905e+10,1.7220e+10,9.7573e+09,1.0988e+10,1.0907e+10,8.6094e+09,1.7222e+10,8.7236e+09,1.5575e+10,1.0272e+10
,,Std,8.6784e+09,8.6984e+09,8.5115e+09,8.4393e+09,3.9782e+06,8.6784e+09,9.7945e+09,8.4370e+09,8.7565e+09,2.1831e+06,8.7576e+09,5.9519e+09,6.8827e+09
F22:Composition2 (N=3),Composition,Mean,3.0045e+09,1.3085e+10,1.6160e+10,1.5052e+10,2.7040e+10,1.8027e+10,1.7025e+10,1.4021e+10,1.5022e+10,3.0054e+10,1.1125e+10,3.1852e+10,1.0540e+07
,,Std,9.1673e+09,1.5219e+10,1.5179e+10,1.5253e+10,9.1673e+09,1.4970e+10,1.5142e+10,1.5245e+10,1.5279e+10,1.2771e+07,1.4657e+10,1.4916e+10,2.0053e+07
F23:Composition3 (N=4),Composition,Mean,4.5479e+14,5.9183e+14,4.7825e+14,4.3155e+14,4.3334e+14,4.3155e+14,5.1191e+14,4.4841e+14,6.7235e+14,4.3155e+14,8.8173e+14,1.0558e+15,4.3155e+14
,,Std,2.7007e+13,2.0934e+14,8.0866e+13,2.5427e-01,9.7858e+12,2.5665e-01,1.1814e+14,3.8345e+13,2.0432e+14,2.5427e-01,5.9925e+14,7.7409e+14,2.5427e-01
F24:Composition4 (N=4),Composition,Mean,2.2470e+15,2.8814e+15,2.3389e+15,2.2610e+15,2.1963e+15,2.2064e+15,2.4841e+15,2.2640e+15,3.3969e+15,2.1854e+15,3.8137e+15,6.5814e+15,2.1854e+15
,,Std,4.5239e+14,6.0619e+14,1.6471e+14,1.1807e+14,4.1510e+13,6.7423e+13,4.5201e+14,1.3534e+14,1.5102e+15,7.6282e-01,1.9785e+15,4.5972e+15,7.6282e-01
F25:Composition5 (N=5),Composition,Mean,3.3675e+12,1.5983e+09,3.0053e+24,3.2038e+21,6.8572e+14,1.4143e+12,3.0682e+15,1.5983e+09,1.8598e+16,1.4313e+22,1.0963e+25,6.5799e+26,9.2371e+11
,,Std,6.9508e+12,1.3566e+01,7.7841e+24,6.7789e+21,1.2701e+15,4.8732e+12,2.2450e+15,6.0543e-07,1.1842e+16,3.6338e+22,4.5800e+25,1.1141e+27,1.0651e+12
F26:Composition6 (N=5),Composition,Mean,1.9268e+12,2.5129e+09,4.3933e+23,2.1902e+21,6.5464e+14,4.4092e+11,2.8022e+15,2.5129e+09,1.6321e+16,1.6224e+26,1.1148e+24,6.4349e+26,6.1540e+11
,,Std,4.4670e+12,2.5175e+01,7.8035e+23,1.0372e+22,8.0124e+14,1.1482e+12,2.2885e+15,3.7567e-07,9.1201e+15,8.8676e+26,3.8565e+24,9.0529e+26,4.9265e+11
F27:Composition7 (N=6),Composition,Mean,3.7226e+09,8.3168e+09,1.1549e+10,1.1438e+10,1.3264e+10,1.1796e+10,1.2163e+10,1.0527e+10,1.1070e+10,1.3264e+10,1.3809e+10,1.5398e+10,1.3254e+10
,,Std,3.8065e+09,5.7686e+09,4.1541e+09,4.1529e+09,0.0000e+00,3.8065e+09,3.3593e+09,4.4700e+09,5.9881e+09,0.0000e+00,7.9062e+09,3.5602e+09,5.4226e+07
F28:Composition8 (N=3),Composition,Mean,4.0589e+09,1.2447e+10,1.4424e+10,1.4315e+10,1.4315e+10,1.3423e+10,1.3423e+10,1.3823e+10,1.5102e+10,1.4315e+10,1.6824e+10,2.2143e+10,1.4315e+10
,,Std,5.7547e+09,5.2574e+09,3.3872e+08,0.0000e+00,0.0000e+00,3.3939e+09,3.3939e+09,2.3325e+09,3.1819e+09,0.0000e+00,5.3110e+09,6.0757e+09,0.0000e+00
F29:Composition9 (N=3),Composition,Mean,1.7665e+02,5.5058e+08,7.5611e+08,5.9658e+08,9.1980e+08,6.1181e+08,6.1528e+08,3.1145e+08,9.6080e+08,8.8841e+08,1.5521e+09,1.5624e+09,5.5784e+08
,,Std,2.7282e+01,7.2075e+08,5.5246e+08,4.6550e+08,9.2084e+07,4.4137e+08,5.7345e+08,4.0452e+08,1.0779e+09,9.2549e+05,1.6623e+09,1.2716e+09,3.7348e+08
F30:Composition10 (N=3),Composition,Mean,1.9007e+02,4.4944e+02,3.6123e+03,2.2587e+03,1.7372e+03,9.6479e+02,2.7697e+03,1.9007e+02,3.5639e+03,5.3298e+03,4.5550e+03,4.5031e+03,1.9007e+02
,,Std,3.9063e-03,1.4206e+03,3.8560e+03,3.4890e+03,3.1471e+03,2.3639e+03,3.7105e+03,4.9521e-12,3.9276e+03,3.2190e+03,4.1629e+03,3.5762e+03,1.0482e-03
