Function,Type,Metric,GOA,PSO,GWO,WOA,DE,RIME,MVO,TLBO,SO,SHO,SCSO,SLO,CCO
F1:Bent Cigar (CEC17-F1),Unimodal,Mean,1.3342e+00,2.8365e+03,3.7870e+03,5.3244e+03,1.6011e-13,4.4296e+03,4.2910e+03,1.1888e+02,3.4016e+03,3.2562e+03,1.7908e+01,8.6346e+06,3.3232e+03
,,Std,4.0367e+00,2.6190e+03,3.4721e+03,4.5567e+03,1.6425e-13,4.3524e+03,4.2142e+03,1.5165e+02,4.2656e+03,1.7481e+03,9.3506e+01,1.4542e+07,3.0987e+03
F2:Schwefel (CEC14-F11),Basic,Mean,8.9378e+01,1.4418e+02,1.6447e+02,2.1168e+02,9.6803e+01,4.0355e+01,1.9870e+02,3.8459e+01,1.7447e+02,1.2909e+02,5.2266e+02,3.7715e+02,5.8346e+01
,,Std,7.3361e+01,8.9693e+01,9.9409e+01,1.2277e+02,7.9191e+01,3.2839e+01,1.2536e+02,5.6430e+01,1.2488e+02,4.6492e+01,1.6512e+02,9.9885e+01,2.8822e+01
F3:Lunacek bi-Rastrigin (CEC17-F7),Basic,Mean,5.8454e+00,6.2878e+00,9.1787e+00,1.2317e+01,1.0768e+01,7.6640e+00,7.3608e+00,6.3457e+00,1.5342e+01,8.6048e+00,3.8820e+01,2.5460e+01,7.4729e+00
,,Std,3.4431e-01,1.4317e+00,2.3682e+00,4.0170e+00,2.0027e+00,1.3684e+00,2.0667e+00,8.3712e-01,1.0663e+01,1.3403e+00,2.0955e+01,9.4426e+00,1.0987e+00
F4:Rosenbrock+Griewank (CEC17-F19),Basic,Mean,1.7030e-01,2.5505e-01,5.3589e-01,4.6519e-01,4.6216e-01,1.8453e-01,2.6858e-01,2.0779e-01,3.3567e-01,7.3129e-01,8.1847e+00,2.1862e+01,2.4557e-01
,,Std,8.0048e-02,1.0563e-01,1.6052e-01,2.8235e-01,1.4751e-01,8.8291e-02,1.1714e-01,1.2435e-01,2.0270e-01,1.7855e-01,1.8679e+01,7.4951e+01,1.1273e-01
F5:Hybrid1 N=3 (CEC14-F17),Hybrid,Mean,4.0891e+00,1.9346e+01,9.5487e+02,1.2493e+02,1.8049e-01,2.9453e+00,6.2199e+02,3.6685e+00,1.3336e+02,6.3417e+01,2.2651e+02,1.0815e+03,1.8184e+00
,,Std,7.5707e+00,3.6504e+01,1.8866e+03,1.0217e+02,4.6363e-01,2.9736e+00,1.0324e+03,6.1501e+00,1.1656e+02,4.9163e+01,1.7785e+02,1.0268e+03,1.3157e+00
F6:Hybrid2 N=4 (CEC17-F16),Hybrid,Mean,9.4108e-02,1.2193e+01,2.9788e+01,5.5366e+00,3.1546e-02,4.6091e-01,6.0930e+01,4.4474e-01,4.2956e+00,1.7149e+00,5.8494e+01,3.0166e+01,6.5676e-01
,,Std,9.5256e-02,3.6243e+01,4.3549e+01,7.0269e+00,9.5158e-02,2.4953e-01,6.1837e+01,2.0361e-01,6.9245e+00,5.7173e-01,6.2815e+01,2.5813e+01,2.6541e-01
F7:Hybrid3 N=5 (CEC14-F21),Hybrid,Mean,1.0000e+12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,,Std,0.0000e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
F8:Composition1 N=3 (CEC17-F22),Composition,Mean,3.3543e+01,6.4401e+01,6.5176e+01,3.3887e+01,3.4013e+00,5.3974e+01,4.4872e+01,2.2169e+01,4.9689e+01,3.3648e+00,7.9426e+01,8.8013e+01,6.3755e-01
,,Std,4.8247e+01,4.9169e+01,4.6423e+01,4.3241e+01,1.8630e+01,5.0917e+01,4.8190e+01,3.9894e+01,3.5338e+01,3.4791e+00,4.8627e+01,4.6040e+01,1.6224e+00
F9:Composition2 N=4 (CEC17-F24),Composition,Mean,8.3503e+01,1.4748e+02,2.2304e+02,1.4047e+02,1.9748e+02,1.3745e+02,1.5483e+02,1.3179e+02,1.9335e+02,1.0795e+02,2.4197e+02,2.1919e+02,8.4342e+01
,,Std,3.7524e+01,8.7486e+01,1.0522e+02,8.7494e+01,1.0076e+02,7.3620e+01,9.4614e+01,7.4610e+01,1.0773e+02,1.9510e+01,1.0562e+02,8.2474e+01,2.6912e+01
F10:Composition3 N=5 (CEC17-F25),Composition,Mean,3.3948e+02,3.4738e+02,3.4583e+02,3.4566e+02,3.3947e+02,3.4737e+02,3.4581e+02,3.4737e+02,3.4867e+02,3.4742e+02,3.5449e+02,3.5913e+02,3.2969e+02
,,Std,1.7948e+01,1.1183e-02,8.6377e+00,1.4577e+01,1.7954e+01,3.4691e-03,8.6294e+00,9.3714e-03,1.8880e+01,2.2981e-02,1.9915e+01,1.8168e+01,2.2113e+01
